Id        money     date                     UserID         BookID    ilosc     
24        300       20.01.2024 18:57:48      56             145       3         
25        200       20.01.2024 18:57:51      56             146       2         
26        100       20.01.2024 18:57:54      56             148       1         
27        1000      20.01.2024 18:57:57      56             142       5         
28        500       22.01.2024 02:00:43      56             145       5         
29        600       22.01.2024 17:10:35      56             142       3         
30        300       22.01.2024 17:24:34      56             143       3         
31        100       22.01.2024 17:33:01      56             145       1         
32        100       22.01.2024 17:33:10      56             143       1         
33        500       22.01.2024 17:55:19      56             143       5         
34        1000      22.01.2024 17:55:41      56             142       5         
35        500       22.01.2024 17:55:49      56             145       5         
36        300       22.01.2024 17:56:16      56             145       3         
37        1000      22.01.2024 18:02:50      56             142       5         
38        100       22.01.2024 18:03:39      56             146       1         
39        200       22.01.2024 18:03:59      56             142       1         
40        100       22.01.2024 18:04:05      56             145       1         
41        100       22.01.2024 18:04:07      56             146       1         
42        440       22.01.2024 18:04:14      56             147       5         
43        500       22.01.2024 18:04:36      56             146       5         
44        600       22.01.2024 18:05:12      56             142       3         
45        200       22.01.2024 18:05:25      56             142       1         
46        100       22.01.2024 18:05:30      56             146       1         
47        100       22.01.2024 18:06:27      56             143       1         
48        88        22.01.2024 18:06:39      56             147       1         
49        100       22.01.2024 18:07:48      56             146       1         
50        100       22.01.2024 18:07:57      56             145       1         
51        100       22.01.2024 18:09:12      56             145       1         
52        300       22.01.2024 18:09:19      56             145       3         
53        500       22.01.2024 22:13:06      56             149       5         
54        200       22.01.2024 22:50:33      56             142       1         
55        100       22.01.2024 22:59:03      56             148       1         
56        100       22.01.2024 22:59:17      56             146       1         
57        200       22.01.2024 23:05:14      56             146       2         
58        264       22.01.2024 23:06:22      56             147       3         
                                                                                
